fluid,T_K,p_Pa
CO2,220,100000.0
CO2,220,350000.0
CO2,220,600000.0
CO2,220,850000.0
CO2,220,1100000.0
CO2,220,1350000.0
CO2,220,1600000.0
CO2,220,1850000.0
CO2,220,2100000.0
CO2,220,2350000.0
CO2,220,2600000.0
CO2,220,2850000.0
CO2,220,3100000.0
CO2,220,3350000.0
CO2,220,3600000.0
CO2,220,3850000.0
CO2,220,4100000.0
CO2,220,4350000.0
CO2,220,4600000.0
CO2,220,4850000.0
CO2,228,100000.0
CO2,228,350000.0
CO2,228,600000.0
CO2,228,850000.0
CO2,228,1100000.0
CO2,228,1350000.0
CO2,228,1600000.0
CO2,228,1850000.0
CO2,228,2100000.0
CO2,228,2350000.0
CO2,228,2600000.0
CO2,228,2850000.0
CO2,228,3100000.0
CO2,228,3350000.0
CO2,228,3600000.0
CO2,228,3850000.0
CO2,228,4100000.0
CO2,228,4350000.0
CO2,228,4600000.0
CO2,228,4850000.0
CO2,236,100000.0
CO2,236,350000.0
CO2,236,600000.0
CO2,236,850000.0
CO2,236,1100000.0
CO2,236,1350000.0
CO2,236,1600000.0
CO2,236,1850000.0
CO2,236,2100000.0
CO2,236,2350000.0
CO2,236,2600000.0
CO2,236,2850000.0
CO2,236,3100000.0
CO2,236,3350000.0
CO2,236,3600000.0
CO2,236,3850000.0
CO2,236,4100000.0
CO2,236,4350000.0
CO2,236,4600000.0
CO2,236,4850000.0
CO2,244,100000.0
CO2,244,350000.0
CO2,244,600000.0
CO2,244,850000.0
CO2,244,1100000.0
CO2,244,1350000.0
CO2,244,1600000.0
CO2,244,1850000.0
CO2,244,2100000.0
CO2,244,2350000.0
CO2,244,2600000.0
CO2,244,2850000.0
CO2,244,3100000.0
CO2,244,3350000.0
CO2,244,3600000.0
CO2,244,3850000.0
CO2,244,4100000.0
CO2,244,4350000.0
CO2,244,4600000.0
CO2,244,4850000.0
CO2,252,100000.0
CO2,252,350000.0
CO2,252,600000.0
CO2,252,850000.0
CO2,252,1100000.0
CO2,252,1350000.0
CO2,252,1600000.0
CO2,252,1850000.0
CO2,252,2100000.0
CO2,252,2350000.0
CO2,252,2600000.0
CO2,252,2850000.0
CO2,252,3100000.0
CO2,252,3350000.0
CO2,252,3600000.0
CO2,252,3850000.0
CO2,252,4100000.0
CO2,252,4350000.0
CO2,252,4600000.0
CO2,252,4850000.0
CO2,260,100000.0
CO2,260,350000.0
CO2,260,600000.0
CO2,260,850000.0
CO2,260,1100000.0
CO2,260,1350000.0
CO2,260,1600000.0
CO2,260,1850000.0
CO2,260,2100000.0
CO2,260,2350000.0
CO2,260,2600000.0
CO2,260,2850000.0
CO2,260,3100000.0
CO2,260,3350000.0
CO2,260,3600000.0
CO2,260,3850000.0
CO2,260,4100000.0
CO2,260,4350000.0
CO2,260,4600000.0
CO2,260,4850000.0
CO2,268,100000.0
CO2,268,350000.0
CO2,268,600000.0
CO2,268,850000.0
CO2,268,1100000.0
CO2,268,1350000.0
CO2,268,1600000.0
CO2,268,1850000.0
CO2,268,2100000.0
CO2,268,2350000.0
CO2,268,2600000.0
CO2,268,2850000.0
CO2,268,3100000.0
CO2,268,3350000.0
CO2,268,3600000.0
CO2,268,3850000.0
CO2,268,4100000.0
CO2,268,4350000.0
CO2,268,4600000.0
CO2,268,4850000.0
CO2,276,100000.0
CO2,276,350000.0
CO2,276,600000.0
CO2,276,850000.0
CO2,276,1100000.0
CO2,276,1350000.0
CO2,276,1600000.0
CO2,276,1850000.0
CO2,276,2100000.0
CO2,276,2350000.0
CO2,276,2600000.0
CO2,276,2850000.0
CO2,276,3100000.0
CO2,276,3350000.0
CO2,276,3600000.0
CO2,276,3850000.0
CO2,276,4100000.0
CO2,276,4350000.0
CO2,276,4600000.0
CO2,276,4850000.0
CO2,284,100000.0
CO2,284,350000.0
CO2,284,600000.0
CO2,284,850000.0
CO2,284,1100000.0
CO2,284,1350000.0
CO2,284,1600000.0
CO2,284,1850000.0
CO2,284,2100000.0
CO2,284,2350000.0
CO2,284,2600000.0
CO2,284,2850000.0
CO2,284,3100000.0
CO2,284,3350000.0
CO2,284,3600000.0
CO2,284,3850000.0
CO2,284,4100000.0
CO2,284,4350000.0
CO2,284,4600000.0
CO2,284,4850000.0
CO2,292,100000.0
CO2,292,350000.0
CO2,292,600000.0
CO2,292,850000.0
CO2,292,1100000.0
CO2,292,1350000.0
CO2,292,1600000.0
CO2,292,1850000.0
CO2,292,2100000.0
CO2,292,2350000.0
CO2,292,2600000.0
CO2,292,2850000.0
CO2,292,3100000.0
CO2,292,3350000.0
CO2,292,3600000.0
CO2,292,3850000.0
CO2,292,4100000.0
CO2,292,4350000.0
CO2,292,4600000.0
CO2,292,4850000.0
CO2,300,100000.0
CO2,300,350000.0
CO2,300,600000.0
CO2,300,850000.0
CO2,300,1100000.0
CO2,300,1350000.0
CO2,300,1600000.0
CO2,300,1850000.0
CO2,300,2100000.0
CO2,300,2350000.0
CO2,300,2600000.0
CO2,300,2850000.0
CO2,300,3100000.0
CO2,300,3350000.0
CO2,300,3600000.0
CO2,300,3850000.0
CO2,300,4100000.0
CO2,300,4350000.0
CO2,300,4600000.0
CO2,300,4850000.0
