fluid,T_K,p_Pa
N2,80,100000.0
N2,80,250000.0
N2,80,400000.0
N2,80,550000.0
N2,80,700000.0
N2,80,850000.0
N2,80,1000000.0
N2,80,1150000.0
N2,80,1300000.0
N2,80,1450000.0
N2,80,1600000.0
N2,80,1750000.0
N2,80,1900000.0
N2,80,2050000.0
N2,80,2200000.0
N2,80,2350000.0
N2,80,2500000.0
N2,80,2650000.0
N2,80,2800000.0
N2,80,2950000.0
N2,84,100000.0
N2,84,250000.0
N2,84,400000.0
N2,84,550000.0
N2,84,700000.0
N2,84,850000.0
N2,84,1000000.0
N2,84,1150000.0
N2,84,1300000.0
N2,84,1450000.0
N2,84,1600000.0
N2,84,1750000.0
N2,84,1900000.0
N2,84,2050000.0
N2,84,2200000.0
N2,84,2350000.0
N2,84,2500000.0
N2,84,2650000.0
N2,84,2800000.0
N2,84,2950000.0
N2,88,100000.0
N2,88,250000.0
N2,88,400000.0
N2,88,550000.0
N2,88,700000.0
N2,88,850000.0
N2,88,1000000.0
N2,88,1150000.0
N2,88,1300000.0
N2,88,1450000.0
N2,88,1600000.0
N2,88,1750000.0
N2,88,1900000.0
N2,88,2050000.0
N2,88,2200000.0
N2,88,2350000.0
N2,88,2500000.0
N2,88,2650000.0
N2,88,2800000.0
N2,88,2950000.0
N2,92,100000.0
N2,92,250000.0
N2,92,400000.0
N2,92,550000.0
N2,92,700000.0
N2,92,850000.0
N2,92,1000000.0
N2,92,1150000.0
N2,92,1300000.0
N2,92,1450000.0
N2,92,1600000.0
N2,92,1750000.0
N2,92,1900000.0
N2,92,2050000.0
N2,92,2200000.0
N2,92,2350000.0
N2,92,2500000.0
N2,92,2650000.0
N2,92,2800000.0
N2,92,2950000.0
N2,96,100000.0
N2,96,250000.0
N2,96,400000.0
N2,96,550000.0
N2,96,700000.0
N2,96,850000.0
N2,96,1000000.0
N2,96,1150000.0
N2,96,1300000.0
N2,96,1450000.0
N2,96,1600000.0
N2,96,1750000.0
N2,96,1900000.0
N2,96,2050000.0
N2,96,2200000.0
N2,96,2350000.0
N2,96,2500000.0
N2,96,2650000.0
N2,96,2800000.0
N2,96,2950000.0
N2,100,100000.0
N2,100,250000.0
N2,100,400000.0
N2,100,550000.0
N2,100,700000.0
N2,100,850000.0
N2,100,1000000.0
N2,100,1150000.0
N2,100,1300000.0
N2,100,1450000.0
N2,100,1600000.0
N2,100,1750000.0
N2,100,1900000.0
N2,100,2050000.0
N2,100,2200000.0
N2,100,2350000.0
N2,100,2500000.0
N2,100,2650000.0
N2,100,2800000.0
N2,100,2950000.0
N2,104,100000.0
N2,104,250000.0
N2,104,400000.0
N2,104,550000.0
N2,104,700000.0
N2,104,850000.0
N2,104,1000000.0
N2,104,1150000.0
N2,104,1300000.0
N2,104,1450000.0
N2,104,1600000.0
N2,104,1750000.0
N2,104,1900000.0
N2,104,2050000.0
N2,104,2200000.0
N2,104,2350000.0
N2,104,2500000.0
N2,104,2650000.0
N2,104,2800000.0
N2,104,2950000.0
N2,108,100000.0
N2,108,250000.0
N2,108,400000.0
N2,108,550000.0
N2,108,700000.0
N2,108,850000.0
N2,108,1000000.0
N2,108,1150000.0
N2,108,1300000.0
N2,108,1450000.0
N2,108,1600000.0
N2,108,1750000.0
N2,108,1900000.0
N2,108,2050000.0
N2,108,2200000.0
N2,108,2350000.0
N2,108,2500000.0
N2,108,2650000.0
N2,108,2800000.0
N2,108,2950000.0
N2,112,100000.0
N2,112,250000.0
N2,112,400000.0
N2,112,550000.0
N2,112,700000.0
N2,112,850000.0
N2,112,1000000.0
N2,112,1150000.0
N2,112,1300000.0
N2,112,1450000.0
N2,112,1600000.0
N2,112,1750000.0
N2,112,1900000.0
N2,112,2050000.0
N2,112,2200000.0
N2,112,2350000.0
N2,112,2500000.0
N2,112,2650000.0
N2,112,2800000.0
N2,112,2950000.0
N2,116,100000.0
N2,116,250000.0
N2,116,400000.0
N2,116,550000.0
N2,116,700000.0
N2,116,850000.0
N2,116,1000000.0
N2,116,1150000.0
N2,116,1300000.0
N2,116,1450000.0
N2,116,1600000.0
N2,116,1750000.0
N2,116,1900000.0
N2,116,2050000.0
N2,116,2200000.0
N2,116,2350000.0
N2,116,2500000.0
N2,116,2650000.0
N2,116,2800000.0
N2,116,2950000.0
N2,120,100000.0
N2,120,250000.0
N2,120,400000.0
N2,120,550000.0
N2,120,700000.0
N2,120,850000.0
N2,120,1000000.0
N2,120,1150000.0
N2,120,1300000.0
N2,120,1450000.0
N2,120,1600000.0
N2,120,1750000.0
N2,120,1900000.0
N2,120,2050000.0
N2,120,2200000.0
N2,120,2350000.0
N2,120,2500000.0
N2,120,2650000.0
N2,120,2800000.0
N2,120,2950000.0
